n,x,y,z,steps,solved,run_id
189161,47291,2981870994,"=""203623385373668274""",44,True,24c3a5d73ed1
189169,,,,500000,False,24c3a5d73ed1
189185,47297,2982627650,"=""5337640616144085850""",2,True,24c3a5d73ed1
189193,47299,2982879908,"=""1570159857996547468""",6,True,24c3a5d73ed1
189209,47303,2983384586,"=""61953015030413962""",144,True,24c3a5d73ed1
189217,47305,2983636730,"=""5341252878979419010""",2,True,24c3a5d73ed1
189233,47309,2984141336,"=""2428663500622367272""",4,True,24c3a5d73ed1
189241,47311,2984393654,"=""2429074219388916814""",4,True,24c3a5d73ed1
189257,47315,2984898320,"=""5345770785458395120""",2,True,24c3a5d73ed1
189265,47317,2985150670,"=""5346674710575718670""",2,True,24c3a5d73ed1
189281,47321,2985655464,"=""140012644392036504""",64,True,24c3a5d73ed1
189289,,,,500000,False,24c3a5d73ed1
189305,47327,2986412580,"=""5351196055802941260""",2,True,24c3a5d73ed1
189313,47329,2986665000,"=""1163500147738335000""",8,True,24c3a5d73ed1
