n,x,y,z,steps,solved,run_id
58321,14583,77319066,4509325248186,2001326,True,ddfc760d9ae1
58369,14594,121692069,14206088750922,1001043,True,ddfc760d9ae1
58393,14600,121791115,"=""20766305848329400""",1000001,True,ddfc760d9ae1
58441,14612,121991415,"=""8013333519232860""",1000002,True,ddfc760d9ae1
58513,14630,122292171,"=""14955374965601070""",1000002,True,ddfc760d9ae1
58801,14703,78595556,"=""5226913433130636""",2000002,True,ddfc760d9ae1
58849,14714,123700599,"=""15301838069258202""",1000002,True,ddfc760d9ae1
58921,14735,45695340,3769381179396,4000554,True,ddfc760d9ae1
59113,14780,124812880,"=""5452389130050160""",1000003,True,ddfc760d9ae1
59161,14794,58348524,"=""1964163549139116""",3000002,True,ddfc760d9ae1
59281,14822,125527518,3720698397279,1004235,True,ddfc760d9ae1
59329,14835,80013254,891434463940590,2000008,True,ddfc760d9ae1
59473,14870,126337645,"=""22345680635466790""",1000001,True,ddfc760d9ae1
59641,14912,127052373,"=""5947165051606464""",1000003,True,ddfc760d9ae1
59689,14924,127256949,"=""16194330941531652""",1000002,True,ddfc760d9ae1
59713,14930,127359300,"=""11354273780183700""",1000002,True,ddfc760d9ae1
59761,14942,127564125,"=""8762172326982750""",1000002,True,ddfc760d9ae1
59809,14955,81313326,24316343573670,2000272,True,ddfc760d9ae1
59833,14960,127871670,"=""11445814664140560""",1000002,True,ddfc760d9ae1
59929,14986,59873082,227846504629803,3000016,True,ddfc760d9ae1
60169,15045,82294790,876432353853270,2000008,True,ddfc760d9ae1
60289,15074,129832362,3913731636309,1004307,True,ddfc760d9ae1
60361,15092,130138317,"=""16935981421454172""",1000002,True,ddfc760d9ae1
60481,15122,130656258,963688613552919,1000018,True,ddfc760d9ae1
60529,15134,130863699,"=""17125307585098902""",1000002,True,ddfc760d9ae1
60553,15140,130967490,"=""12006738274862580""",1000002,True,ddfc760d9ae1
60601,15155,48338388,2092396179420,4001117,True,ddfc760d9ae1
60769,15196,61563056,490087420858384,3000008,True,ddfc760d9ae1
60793,15200,132007660,"=""6099107672528800""",1000003,True,ddfc760d9ae1
60889,15224,132424926,354781738045416,1000050,True,ddfc760d9ae1
60913,15230,132529285,"=""24589615803126430""",1000001,True,ddfc760d9ae1
60961,15242,132742578,4046060148729,1004355,True,ddfc760d9ae1
61009,15254,132947332,"=""3255919646037604""",1000006,True,ddfc760d9ae1
61033,15260,133051941,"=""17702818870815540""",1000002,True,ddfc760d9ae1
61153,15290,133575625,"=""24979426498221250""",1000001,True,ddfc760d9ae1
61441,15363,85810890,47450762032410,2000156,True,ddfc760d9ae1
61561,15392,135363852,"=""2466607691519712""",1000008,True,ddfc760d9ae1
61609,15405,86280610,"=""1259811918053130""",2000006,True,ddfc760d9ae1
61681,15428,30697254,71950618311012,7000014,True,ddfc760d9ae1
61753,15440,136209475,"=""25974229375476400""",1000001,True,ddfc760d9ae1
61873,15470,136739331,"=""18697644505588230""",1000002,True,ddfc760d9ae1
61969,15494,137163964,"=""2124155848986892""",1000009,True,ddfc760d9ae1
62041,15512,137482857,"=""18901535831399592""",1000002,True,ddfc760d9ae1
62209,15554,138228399,"=""19107090151874802""",1000002,True,ddfc760d9ae1
62233,15560,138335070,"=""13395613975998360""",1000002,True,ddfc760d9ae1
62329,15584,138762219,339507856080672,1000057,True,ddfc760d9ae1
62401,15602,139082953,503377090308874,1000039,True,ddfc760d9ae1
62473,15620,139404040,"=""6801720089508520""",1000003,True,ddfc760d9ae1
62569,15644,139832784,"=""2632162405712112""",1000008,True,ddfc760d9ae1
62641,15662,140154769,"=""3353744126042878""",1000006,True,ddfc760d9ae1
62881,15722,141230727,"=""19946118107717802""",1000002,True,ddfc760d9ae1
62929,15734,141448660,8901222725140,1002248,True,ddfc760d9ae1
63073,15770,142094460,"=""14133584751789660""",1000002,True,ddfc760d9ae1
63193,15800,142635630,"=""14241445919212200""",1000002,True,ddfc760d9ae1
63241,15812,142852393,"=""2421146353771084""",1000009,True,ddfc760d9ae1
63289,15824,143069316,"=""1885286755153776""",1000011,True,ddfc760d9ae1
63361,15842,143395020,808623015737580,1000026,True,ddfc760d9ae1
63433,15860,143721055,"=""28918038166717180""",1000001,True,ddfc760d9ae1
63553,15890,144265311,"=""20812479813661410""",1000002,True,ddfc760d9ae1
63601,15902,144485572,9189426864772,1002272,True,ddfc760d9ae1
63649,15914,144701476,"=""1003901362805716""",1000021,True,ddfc760d9ae1
63889,15974,145794699,"=""21256094110705902""",1000002,True,ddfc760d9ae1
64033,16010,146452620,"=""15013858786952460""",1000002,True,ddfc760d9ae1
64081,16022,146673399,18797956162638,1001145,True,ddfc760d9ae1
64129,16034,146892057,"=""11618533304480154""",1000002,True,ddfc760d9ae1
64153,16040,147002020,"=""7563357712426120""",1000003,True,ddfc760d9ae1
64201,16052,147222069,"=""4894205117438748""",1000005,True,ddfc760d9ae1
64441,16112,148324773,"=""8105350798965264""",1000003,True,ddfc760d9ae1
64513,16130,148656385,"=""30938208973119130""",1000001,True,ddfc760d9ae1
64729,16184,149653449,"=""22396154647942152""",1000002,True,ddfc760d9ae1
64849,16218,45727008,471490767944928,5000005,True,ddfc760d9ae1
64921,16232,150543684,19546893017928,1001160,True,ddfc760d9ae1
64969,16244,150765214,"=""2566307079351892""",1000009,True,ddfc760d9ae1
64993,16250,150876609,"=""12257404310921250""",1000002,True,ddfc760d9ae1
65089,16274,151322656,778105788154336,1000030,True,ddfc760d9ae1
65281,16322,152216668,836027673139804,1000028,True,ddfc760d9ae1
65353,16340,152552575,"=""32581203242230300""",1000001,True,ddfc760d9ae1
65449,16364,153003400,10013919526600,1002338,True,ddfc760d9ae1
65521,16383,97584630,270672667621070,2000036,True,ddfc760d9ae1
65713,16430,154237800,"=""16652509109950200""",1000002,True,ddfc760d9ae1
65809,16454,154688766,"=""2203951164866751""",1000011,True,ddfc760d9ae1
65833,16460,154801600,"=""8387237222094400""",1000003,True,ddfc760d9ae1
65881,16473,98659806,699812519114926,2000014,True,ddfc760d9ae1
66073,16520,155932281,"=""24314876101930680""",1000002,True,ddfc760d9ae1
66193,16550,156499165,"=""34288783947476950""",1000001,True,ddfc760d9ae1
66241,16562,156726207,"=""24563103803880642""",1000002,True,ddfc760d9ae1
66289,16574,156953475,392803381092150,1000063,True,ddfc760d9ae1
66529,16637,58254900,507708871715100,4000007,True,ddfc760d9ae1
66553,16640,158205990,"=""17520394532110080""",1000002,True,ddfc760d9ae1
66601,16652,158434368,242693408892864,1000104,True,ddfc760d9ae1
66673,16670,158776990,"=""8823546234934045""",1000003,True,ddfc760d9ae1
66721,16682,159005680,"=""4657358891147920""",1000006,True,ddfc760d9ae1
66889,16728,48648662,"=""1600997693438856""",5000002,True,ddfc760d9ae1
67033,16760,160496155,"=""36062621917201480""",1000001,True,ddfc760d9ae1
67081,16772,160726077,"=""25832871667083852""",1000002,True,ddfc760d9ae1
67129,16784,160956462,86438770700784,1000300,True,ddfc760d9ae1
67153,16790,161071270,"=""9080383745723245""",1000003,True,ddfc760d9ae1
67369,16850,36618420,12334731684900,7000109,True,ddfc760d9ae1
67513,16880,162802780,"=""9276660648702160""",1000003,True,ddfc760d9ae1
67561,16892,163034352,"=""3578103673973712""",1000008,True,ddfc760d9ae1
67753,16940,163962261,"=""26883622868269860""",1000002,True,ddfc760d9ae1
67849,16964,164427216,"=""2490186224132976""",1000011,True,ddfc760d9ae1
67921,16982,164776347,"=""27151244365888062""",1000002,True,ddfc760d9ae1
68041,17013,105234714,379494584289522,2000030,True,ddfc760d9ae1
68113,17030,165709200,"=""19221677109538800""",1000002,True,ddfc760d9ae1
68161,17043,105606176,"=""9436869779222496""",2000002,True,ddfc760d9ae1
68209,17056,77558182,"=""3470348919640928""",3000002,True,ddfc760d9ae1
68281,17072,166527660,500309706708240,1000056,True,ddfc760d9ae1
68401,17102,167113417,"=""11499309185234302""",1000003,True,ddfc760d9ae1
68449,17114,167348055,985113403435770,1000029,True,ddfc760d9ae1
68521,17132,167700865,45964123882660,1000612,True,ddfc760d9ae1
68809,17204,169112866,"=""7699774066546276""",1000004,True,ddfc760d9ae1
68929,17234,169703199,"=""28799175581130402""",1000002,True,ddfc760d9ae1
69001,17252,170057904,"=""2663655553496208""",1000011,True,ddfc760d9ae1
69073,17270,170412960,"=""20328403684760160""",1000002,True,ddfc760d9ae1
69193,17300,171005560,"=""10235015371814200""",1000003,True,ddfc760d9ae1
69313,17330,171599185,"=""41224792238130730""",1000001,True,ddfc760d9ae1
69361,17342,171836925,"=""15899653793869950""",1000002,True,ddfc760d9ae1
69409,17354,172074831,"=""6686071835852586""",1000005,True,ddfc760d9ae1
69433,17360,172193841,"=""29650718706139440""",1000002,True,ddfc760d9ae1
69601,17402,173028087,"=""29938718717851482""",1000002,True,ddfc760d9ae1
69673,17420,173386239,"=""16187654835994980""",1000002,True,ddfc760d9ae1
69769,17444,173864349,"=""30228811679329452""",1000002,True,ddfc760d9ae1
69841,17464,81313564,420247526125976,3000016,True,ddfc760d9ae1
69961,17492,174822777,131494000657212,1000233,True,ddfc760d9ae1
70153,17540,175783375,"=""43259712721163500""",1000001,True,ddfc760d9ae1
70201,17552,176024620,49428417394480,1000627,True,ddfc760d9ae1
70249,17568,53658040,135699251470560,5000022,True,ddfc760d9ae1
70273,17570,176385231,"=""31111749538538130""",1000002,True,ddfc760d9ae1
70321,17582,176626294,925330052717863,1000034,True,ddfc760d9ae1
70369,17594,176867457,"=""16844206086173154""",1000002,True,ddfc760d9ae1
70393,17600,176988115,"=""43854709814766400""",1000001,True,ddfc760d9ae1
70489,17624,177471477,100078295538024,1000315,True,ddfc760d9ae1
70729,17685,113712978,361926234943290,2000036,True,ddfc760d9ae1
70753,17690,178802940,"=""22379343768047580""",1000002,True,ddfc760d9ae1
70849,17714,179288460,"=""6617954621423340""",1000005,True,ddfc760d9ae1
70993,17750,180017965,"=""45369054631819750""",1000001,True,ddfc760d9ae1
71041,17762,180261474,"=""2992886570535483""",1000011,True,ddfc760d9ae1
71089,17775,114873426,204155924522850,2000065,True,ddfc760d9ae1
71161,17792,180870970,823741382154880,1000040,True,ddfc760d9ae1
71209,17804,181115641,51588254719876,1000636,True,ddfc760d9ae1
71353,17840,181848220,"=""11574071109160720""",1000003,True,ddfc760d9ae1
71521,17883,116273816,76935012106536,2000176,True,ddfc760d9ae1
71593,17900,183073530,"=""23461141987589100""",1000002,True,ddfc760d9ae1
71641,17912,183319089,"=""7588426227730248""",1000005,True,ddfc760d9ae1
71713,17930,183687730,"=""11809413569705785""",1000003,True,ddfc760d9ae1
71809,17954,184179840,"=""2526122094936960""",1000014,True,ddfc760d9ae1
71881,17972,184549975,53062547011900,1000642,True,ddfc760d9ae1
71953,17990,184919211,"=""34195114411943310""",1000002,True,ddfc760d9ae1
72049,18014,185413144,182031764492872,1000189,True,ddfc760d9ae1
72073,18020,185536495,"=""48193307182102540""",1000001,True,ddfc760d9ae1
72121,18032,185783697,"=""34515581885204112""",1000002,True,ddfc760d9ae1
72169,18044,186031066,"=""9317419145494876""",1000004,True,ddfc760d9ae1
72241,18062,186402424,"=""9354655417887208""",1000004,True,ddfc760d9ae1
72409,18104,187270365,"=""12920595983815560""",1000003,True,ddfc760d9ae1
72481,18122,187642957,"=""14498185411293922""",1000003,True,ddfc760d9ae1
72601,18153,119812032,24676259799104,2000582,True,ddfc760d9ae1
72673,18170,188638345,"=""49818195097436290""",1000001,True,ddfc760d9ae1
72793,18200,189261801,"=""35820029128501800""",1000002,True,ddfc760d9ae1
72889,18224,189761310,"=""7413690498780240""",1000005,True,ddfc760d9ae1
73009,18254,190389220,13900126562980,1002608,True,ddfc760d9ae1
73033,18260,190511800,"=""12703160888222200""",1000003,True,ddfc760d9ae1
73441,18362,192646312,479313849217912,1000078,True,ddfc760d9ae1
73489,18374,192898134,"=""5008996551424437""",1000008,True,ddfc760d9ae1
73681,18422,193907349,"=""4314760789264038""",1000009,True,ddfc760d9ae1
73801,18452,194539437,"=""37845592353737532""",1000002,True,ddfc760d9ae1
73849,18464,194792892,115082082250464,1000330,True,ddfc760d9ae1
73969,18494,195426099,"=""38191359974931702""",1000002,True,ddfc760d9ae1
73993,18500,195552930,"=""26768663706556500""",1000002,True,ddfc760d9ae1
74089,18525,124772620,"=""1802634335420100""",2000009,True,ddfc760d9ae1
74113,18530,196187700,"=""26942729345715300""",1000002,True,ddfc760d9ae1
74161,18542,196441905,"=""3700355341643070""",1000011,True,ddfc760d9ae1
74209,18558,59877387,8886882023766,5000404,True,ddfc760d9ae1
74233,18560,196823500,"=""13558821356464000""",1000003,True,ddfc760d9ae1
74449,18614,197970550,"=""1672843525633825""",1000024,True,ddfc760d9ae1
74473,18620,198098181,"=""39242889117410580""",1000002,True,ddfc760d9ae1
74521,18632,198353620,"=""4050133771789480""",1000010,True,ddfc760d9ae1
