n,x,y,z,steps,solved,run_id
28609,7153,68213400,606921836946600,8,True,4dea7238a2e7
28625,7157,68289710,"=""2798090626840750""",2,True,4dea7238a2e7
28633,7159,68327886,"=""1273281751280022""",4,True,4dea7238a2e7
28649,7163,68404272,484049355166416,10,True,4dea7238a2e7
28657,7165,68442470,"=""2810622951378070""",2,True,4dea7238a2e7
28673,7169,68518930,265745805160970,18,True,4dea7238a2e7
28681,7171,68557158,613054354882446,8,True,4dea7238a2e7
28697,7175,68633660,"=""2826347502363700""",2,True,4dea7238a2e7
28705,7177,68671930,"=""2829500313283010""",2,True,4dea7238a2e7
28721,7181,68748504,"=""1289006331861864""",4,True,4dea7238a2e7
28729,7183,68786806,"=""1290443025671822""",4,True,4dea7238a2e7
28745,7187,68863440,"=""2845303952316720""",2,True,4dea7238a2e7
28753,,,,500000,False,4dea7238a2e7
28769,7193,68979210,6450176947890,738,True,4dea7238a2e7
28777,7195,69016840,"=""2857994453134520""",2,True,4dea7238a2e7
28793,7199,69093610,622686053884490,8,True,4dea7238a2e7
28801,7201,69132028,172743447568916,28,True,4dea7238a2e7
28817,7205,69208830,"=""2873917220772510""",2,True,4dea7238a2e7
28825,7207,69247260,"=""2877109741257300""",2,True,4dea7238a2e7
28841,7211,69324214,75484432980254,64,True,4dea7238a2e7
28849,7213,69362618,849030420486898,6,True,4dea7238a2e7
28865,7217,69439570,"=""2893112259631370""",2,True,4dea7238a2e7
28873,,,,500000,False,4dea7238a2e7
28889,7223,69555160,62290749534440,78,True,4dea7238a2e7
28897,7225,69593610,"=""2905962262105650""",2,True,4dea7238a2e7
28913,7229,69670702,502138556243726,10,True,4dea7238a2e7
28921,,,,500000,False,4dea7238a2e7
28937,7235,69786400,"=""2922084905189600""",2,True,4dea7238a2e7
28945,7237,69824990,"=""2925317467275070""",2,True,4dea7238a2e7
28961,7241,69902386,26317759012298,186,True,4dea7238a2e7
28969,7243,69940842,248731525635546,20,True,4dea7238a2e7
28985,7247,70018100,"=""2941520526547900""",2,True,4dea7238a2e7
28993,7249,70056756,"=""1338531492100572""",4,True,4dea7238a2e7
29009,7253,70136510,2034590018590,2418,True,4dea7238a2e7
29017,7255,70172780,"=""2954531361584260""",2,True,4dea7238a2e7
29033,7259,70250188,870897973403108,6,True,4dea7238a2e7
29041,7261,70288918,279652684066406,18,True,4dea7238a2e7
29057,7265,70366370,"=""2970855545819770""",2,True,4dea7238a2e7
29065,7267,70405120,"=""2974128482923520""",2,True,4dea7238a2e7
29081,7271,70482654,"=""1354855706303814""",4,True,4dea7238a2e7
29089,,,,500000,False,4dea7238a2e7
29105,7277,70599030,"=""2990533751565510""",2,True,4dea7238a2e7
29113,7279,70637852,516176426104276,10,True,4dea7238a2e7
29129,7283,70717930,2059942582970,2428,True,4dea7238a2e7
29137,7285,70754350,"=""3003706755599150""",2,True,4dea7238a2e7
29153,7289,70832138,76403864807218,66,True,4dea7238a2e7
29161,7291,70870954,"=""1369825053002714""",4,True,4dea7238a2e7
29177,7295,70948740,"=""3020234153603820""",2,True,4dea7238a2e7
29185,7297,70987650,"=""3023547800525850""",2,True,4dea7238a2e7
29201,7301,71065550,101684071151950,50,True,4dea7238a2e7
29209,,,,500000,False,4dea7238a2e7
29225,7307,71182360,"=""3040156953919400""",2,True,4dea7238a2e7
29233,7309,71221340,661627659830260,8,True,4dea7238a2e7
29249,7313,71299316,"=""1386434236537372""",4,True,4dea7238a2e7
29257,7315,71338320,"=""3053493468915120""",2,True,4dea7238a2e7
29273,7319,71416496,38156905398352,134,True,4dea7238a2e7
29281,7321,71455416,325906937633928,16,True,4dea7238a2e7
29297,7325,71533510,"=""3070225760218550""",2,True,4dea7238a2e7
29305,7327,71572580,"=""3073580453141260""",2,True,4dea7238a2e7
29321,7331,71650840,57254681576360,90,True,4dea7238a2e7
29329,,,,500000,False,4dea7238a2e7
29345,7337,71768090,"=""3090395173580770""",2,True,4dea7238a2e7
29353,7339,71807236,377288645897132,14,True,4dea7238a2e7
29369,7343,71885750,22697853676750,228,True,4dea7238a2e7
29377,7345,71924690,"=""3103896547032970""",2,True,4dea7238a2e7
29393,7349,72003058,914901168235418,6,True,4dea7238a2e7
29401,,,,500000,False,4dea7238a2e7
29417,7355,72120680,"=""3120835418076760""",2,True,4dea7238a2e7
29425,7357,72159910,"=""3124231494564950""",2,True,4dea7238a2e7
29441,7361,72238406,920891804482918,6,True,4dea7238a2e7
29449,,,,500000,False,4dea7238a2e7
29465,7367,72356220,"=""3141253471256820""",2,True,4dea7238a2e7
29473,,,,500000,False,4dea7238a2e7
29489,7373,72474166,156014919725702,34,True,4dea7238a2e7
