batch_k,candidates,survivors,survivor_n,is_prime
969,2101514,158,25077249582961,False
969,2101514,158,25092956248369,False
969,2101514,158,25080154144081,False
969,2101514,158,25100510821681,False
969,2101514,158,25076668690921,False
969,2101514,158,25084240845889,False
969,2101514,158,25095280611361,False
969,2101514,158,25095000079081,False
969,2101514,158,25097324536729,False
969,2101514,158,25098486805921,False
969,2101514,158,25095581183401,False
969,2101514,158,25081055593801,False
969,2101514,158,25085663256481,False
969,2101514,158,25079893728289,False
969,2101514,158,25093256806489,False
969,2101514,158,25076949120721,False
969,2101514,158,25099067950609,False
969,2101514,158,25096122217609,False
969,2101514,158,25100230260169,False
969,2101514,158,25080274336441,False
969,2101514,158,25100029860049,False
969,2101514,158,25096322602129,False
969,2101514,158,25097705277121,False
969,2101514,158,25094799699841,False
969,2101514,158,25080855270241,False
969,2101514,158,25094218604569,False
969,2101514,158,25094579283601,False
969,2101514,158,25080634915249,False
969,2101514,158,25088187633721,False
969,2101514,158,25082377749361,False
969,2101514,158,25083760040161,False
969,2101514,158,25099809420841,False
969,2101514,158,25095480992521,False
969,2101514,158,25095060193009,False
969,2101514,158,25097384653441,False
969,2101514,158,25089089227801,False
969,2101514,158,25091573704201,False
969,2101514,158,25088668481881,False
969,2101514,158,25081536373609,False
969,2101514,158,25083860207641,False
969,2101514,158,25101292394161,False
969,2101514,158,25082858541841,False
969,2101514,158,25090852391929,False
969,2101514,158,25079352869041,False
969,2101514,158,25099568942809,False
969,2101514,158,25085743393489,False
969,2101514,158,25099689181681,False
969,2101514,158,25090972609921,False
969,2101514,158,25089810514729,False
969,2101514,158,25081095658609,False
969,2101514,158,25100270340289,False
969,2101514,158,25082838508729,False
969,2101514,158,25087486405081,False
969,2101514,158,25082257551961,False
969,2101514,158,25100530861849,False
969,2101514,158,25087165846681,False
969,2101514,158,25095881757241,False
969,2101514,158,25079553186601,False
969,2101514,158,25090652029249,False
969,2101514,158,25095821642329,False
969,2101514,158,25081295983129,False
969,2101514,158,25102274387089,False
969,2101514,158,25093497254281,False
969,2101514,158,25080134112049,False
969,2101514,158,25091754033889,False
969,2101514,158,25085362743841,False
969,2101514,158,25088267774761,False
969,2101514,158,25081937026969,False
969,2101514,158,25090591920601,False
969,2101514,158,25078030793209,False
969,2101514,158,25088488163281,False
969,2101514,158,25089269548561,False
969,2101514,158,25100891586241,False
969,2101514,158,25085202471169,False
969,2101514,158,25078231105489,False
969,2101514,158,25099669141849,False
969,2101514,158,25097264420089,False
969,2101514,158,25081576438801,False
969,2101514,158,25090291378441,False
969,2101514,158,25090952573569,False
969,2101514,158,25100831465329,False
969,2101514,158,25096683296281,False
969,2101514,158,25087466370121,False
969,2101514,158,25086885359761,False
969,2101514,158,25099007831881,False
969,2101514,158,25097925707089,False
969,2101514,158,25084881927361,False
969,2101514,158,25094619359209,False
969,2101514,158,25088808730129,False
969,2101514,158,25087065672601,False
969,2101514,158,25099989780121,False
969,2101514,158,25090111054009,False
969,2101514,158,25101733286569,False
969,2101514,158,25077189490369,False
969,2101514,158,25096863644329,False
969,2101514,158,25081175788321,False
969,2101514,158,25093677590881,False
969,2101514,158,25088147563249,False
969,2101514,158,25079733473089,False
969,2101514,158,25096001987281,False
969,2101514,158,25098907634161,False
969,2101514,158,25087286055841,False
969,2101514,158,25099188188281,False
969,2101514,158,25085242539289,False
969,2101514,158,25078571638201,False
969,2101514,158,25097164225849,False
969,2101514,158,25081235885689,False
969,2101514,158,25082978740681,False
969,2101514,158,25086644943649,False
969,2101514,158,25081997125249,False
969,2101514,158,25095360763729,False
969,2101514,158,25087045637809,False
969,2101514,158,25084901961289,False
969,2101514,158,25098667160449,False
969,2101514,158,25101172151449,False
969,2101514,158,25076768844241,False
969,2101514,158,25079493091249,False
969,2101514,158,25090712137969,False
969,2101514,158,25085482948681,False
969,2101514,158,25077970699681,False
969,2101514,158,25078872110161,False
969,2101514,158,25084361048041,False
969,2101514,158,25098306452041,False
969,2101514,158,25079132520649,False
969,2101514,158,25091072791801,False
969,2101514,158,25077389799289,False
969,2101514,158,25101793408561,False
969,2101514,158,25096302563641,False
969,2101514,158,25099789380961,False
969,2101514,158,25081456243321,False
969,2101514,158,25088748623689,False
969,2101514,158,25097464809169,False
969,2101514,158,25087185881521,False
969,2101514,158,25078471481281,False
969,2101514,158,25091253119689,False
969,2101514,158,25099969740169,False
969,2101514,158,25098126098809,False
969,2101514,158,25085442880369,False
969,2101514,158,25080695011969,False
969,2101514,158,25095901795561,False
969,2101514,158,25081275950641,False
969,2101514,158,25092415248289,False
969,2101514,158,25091152937449,False
969,2101514,158,25092896136961,False
969,2101514,158,25085803496329,False
969,2101514,158,25084401115489,False
969,2101514,158,25091373338641,False
969,2101514,158,25077089336209,False
969,2101514,158,25092775914361,False
969,2101514,158,25096603141801,False
969,2101514,158,25086144080449,False
969,2101514,158,25096262486689,False
969,2101514,158,25094519170249,False
969,2101514,158,25082658211081,False
969,2101514,158,25096022025649,False
969,2101514,158,25078591669609,False
969,2101514,158,25076848967041,False
969,2101514,158,25093356992929,False
970,2101514,165,25125487076089,False
970,2101514,165,25123181363809,False
970,2101514,165,25112115417601,False
970,2101514,165,25117948791961,False
970,2101514,165,25120254264121,False
970,2101514,165,25106904041041,False
970,2101514,165,25103396688241,False
970,2101514,165,25122579891049,False
970,2101514,165,25127832996289,False
970,2101514,165,25126068533281,False
970,2101514,165,25124324181889,False
970,2101514,165,25121437112641,False
970,2101514,165,25121737841281,False
970,2101514,165,25103717350321,False
970,2101514,165,25104298555561,False
970,2101514,165,25106002126921,False
970,2101514,165,25125226425049,False
970,2101514,165,25113558663649,False
970,2101514,165,25108948439689,False
970,2101514,165,25121156434201,False
970,2101514,165,25119412253329,False
970,2101514,165,25120534937521,False
970,2101514,165,25107745842169,False
970,2101514,165,25115924073241,False
970,2101514,165,25118209405249,False
970,2101514,165,25107004254721,False
970,2101514,165,25120374552529,False
970,2101514,165,25113398300929,False
970,2101514,165,25112015193721,False
970,2101514,165,25124444480041,False
970,2101514,165,25127351772961,False
970,2101514,165,25115503102369,False
970,2101514,165,25106783784889,False
970,2101514,165,25118630398801,False
970,2101514,165,25105040103049,False
970,2101514,165,25102935740089,False
970,2101514,165,25124223933649,False
970,2101514,165,25103777474689,False
970,2101514,165,25128193916809,False
970,2101514,165,25113498527569,False
970,2101514,165,25110752389969,False
970,2101514,165,25118730635881,False
970,2101514,165,25123381856329,False
970,2101514,165,25118309641489,False
970,2101514,165,25117728274081,False
970,2101514,165,25109429486761,False
970,2101514,165,25104198347281,False
970,2101514,165,25127452027441,False
970,2101514,165,25103035945849,False
970,2101514,165,25111333676641,False
970,2101514,165,25119452348761,False
970,2101514,165,25126429441129,False
