batch_k,candidates,survivors,survivor_n,is_prime
3480,2101514,78,90082478810041,False
3480,2101514,78,90065926954249,False
3480,2101514,78,90070368472681,False
3480,2101514,78,90068128718929,False
3480,2101514,78,90064826082001,False
3480,2101514,78,90076974010321,False
3480,2101514,78,90080846334649,False
3480,2101514,78,90070937906041,False
3480,2101514,78,90081871375609,False
3480,2101514,78,90073139731969,False
3480,2101514,78,90064332589729,False
3480,2101514,78,90065357536729,False
3480,2101514,78,90077543464561,False
3480,2101514,78,90070861981489,False
3480,2101514,78,90070140699841,False
3480,2101514,78,90058448747569,False
3480,2101514,78,90061751267569,False
3480,2101514,78,90063535412761,False
3480,2101514,78,90082668633721,False
3480,2101514,78,90073443434209,False
3480,2101514,78,90083959440049,False
3480,2101514,78,90058638545929,False
3480,2101514,78,90082896422401,False
3480,2101514,78,90066382489561,False
3480,2101514,78,90063079884649,False
3480,2101514,78,90069912927289,False
3480,2101514,78,90078492558961,False
3480,2101514,78,90070406434849,False
3480,2101514,78,90058183030201,False
3480,2101514,78,90066989871769,False
3480,2101514,78,90073709174089,False
3480,2101514,78,90073595285521,False
3480,2101514,78,90071507341201,False
3480,2101514,78,90059701420441,False
3480,2101514,78,90080998192201,False
3480,2101514,78,90076214740801,False
3480,2101514,78,90065585303521,False
3480,2101514,78,90082820492809,False
3480,2101514,78,90079517586529,False
3480,2101514,78,90063003963409,False
3480,2101514,78,90080732441569,False
3480,2101514,78,90067673179201,False
3480,2101514,78,90068774068849,False
3480,2101514,78,90079631478841,False
3480,2101514,78,90072076778161,False
3480,2101514,78,90061409624761,False
3480,2101514,78,90077923101721,False
3480,2101514,78,90082326951241,False
3480,2101514,78,90059473661089,False
3480,2101514,78,90079289802121,False
3480,2101514,78,90077239755409,False
3480,2101514,78,90079973156209,False
3480,2101514,78,90064028902849,False
3480,2101514,78,90073367508601,False
3480,2101514,78,90058524666889,False
3480,2101514,78,90080542619929,False
3480,2101514,78,90067862987281,False
3480,2101514,78,90060270820081,False
3480,2101514,78,90061371664489,False
3480,2101514,78,90063573373489,False
3480,2101514,78,90079403694289,False
3480,2101514,78,90082706598481,False
3480,2101514,78,90077809210489,False
3480,2101514,78,90070596245809,False
3480,2101514,78,90066192683041,False
3480,2101514,78,90078150884401,False
3480,2101514,78,90083465895361,False
3480,2101514,78,90072646216921,False
3480,2101514,78,90069153687529,False
3480,2101514,78,90066951910321,False
3480,2101514,78,90072873992929,False
3480,2101514,78,90075531400969,False
3480,2101514,78,90059018143249,False
3480,2101514,78,90079479622441,False
3480,2101514,78,90076176777409,False
3480,2101514,78,90078378667369,False
3480,2101514,78,90081681552769,False
3480,2101514,78,90060118980001,False
3479,2101514,85,90052716931321,False
3479,2101514,85,90043948744201,False
3479,2101514,85,90032941667761,False
3479,2101514,85,90056057305369,False
3479,2101514,85,90035105074489,False
3479,2101514,85,90053855688241,False
3479,2101514,85,90050553313009,False
3479,2101514,85,90051046767529,False
3479,2101514,85,90048845211649,False
3479,2101514,85,90043417352641,False
3479,2101514,85,90052147555561,False
3479,2101514,85,90051122683729,False
3479,2101514,85,90053324267449,False
3479,2101514,85,90035636441521,False
3479,2101514,85,90033131439241,False
3479,2101514,85,90056930367889,False
3479,2101514,85,90045239273089,False
3479,2101514,85,90054538945849,False
3479,2101514,85,90038824676641,False
3479,2101514,85,90046833468601,False
3479,2101514,85,90050932893289,False
3479,2101514,85,90057841394161,False
3479,2101514,85,90044328310561,False
3479,2101514,85,90034725527569,False
3479,2101514,85,90038027612569,False
3479,2101514,85,90051236558089,False
3479,2101514,85,90036926910841,False
3479,2101514,85,90054235275481,False
3479,2101514,85,90033586891609,False
3479,2101514,85,90045694756081,False
3479,2101514,85,90052071638929,False
3479,2101514,85,90055601796169,False
3479,2101514,85,90049870070521,False
3479,2101514,85,90045467014441,False
3479,2101514,85,90044973575209,False
3479,2101514,85,90057082205281,False
3479,2101514,85,90034080299641,False
3479,2101514,85,90053893646929,False
3479,2101514,85,90037268507209,False
3479,2101514,85,90038483077321,False
3479,2101514,85,90033966436129,False
3479,2101514,85,90049794154849,False
3479,2101514,85,90044290353889,False
3479,2101514,85,90049072957561,False
3479,2101514,85,90033283256569,False
3479,2101514,85,90037686014761,False
3479,2101514,85,90053096516161,False
3479,2101514,85,90037951701889,False
3479,2101514,85,90046605725521,False
3479,2101514,85,90053210391769,False
3479,2101514,85,90056512815721,False
3479,2101514,85,90039052409881,False
3479,2101514,85,90051008809441,False
3479,2101514,85,90034649618281,False
