batch_k,candidates,survivors,survivor_n,is_prime
1547,2101514,126,40041774212449,False
1547,2101514,126,40043976336961,False
1547,2101514,126,40038129449761,False
1547,2101514,126,40051342503769,False
1547,2101514,126,40037370145081,False
1547,2101514,126,40052051311561,False
1547,2101514,126,40046203834849,False
1547,2101514,126,40040331474049,False
1547,2101514,126,40043242288729,False
1547,2101514,126,40057215671929,False
1547,2101514,126,40053544891369,False
1547,2101514,126,40042862611249,False
1547,2101514,126,40051671592321,False
1547,2101514,126,40036990495441,False
1547,2101514,126,40048785784921,False
1547,2101514,126,40047266980681,False
1547,2101514,126,40053190480081,False
1547,2101514,126,40040711139529,False
1547,2101514,126,40042913234809,False
1547,2101514,126,40051722221449,False
1547,2101514,126,40042179196321,False
1547,2101514,126,40046583528169,False
1547,2101514,126,40041647655409,False
1547,2101514,126,40051190617201,False
1547,2101514,126,40058810615209,False
1547,2101514,126,40041926081161,False
1547,2101514,126,40051595648689,False
1547,2101514,126,40056203026009,False
1547,2101514,126,40040053053841,False
1547,2101514,126,40039116556609,False
1547,2101514,126,40036914565729,False
1547,2101514,126,40049393314681,False
1547,2101514,126,40055468865721,False
1547,2101514,126,40058405547241,False
1547,2101514,126,40034737944601,False
1547,2101514,126,40059114417529,False
1547,2101514,126,40039875877849,False
1547,2101514,126,40035623771641,False
1547,2101514,126,40035471914881,False
1547,2101514,126,40034889799969,False
1547,2101514,126,40037673866089,False
1547,2101514,126,40045748205241,False
1547,2101514,126,40046482276441,False
1547,2101514,126,40057646050321,False
1547,2101514,126,40039141867201,False
1547,2101514,126,40044431956489,False
1547,2101514,126,40035952795609,False
1547,2101514,126,40046887284121,False
1547,2101514,126,40047621365761,False
1547,2101514,126,40043292912529,False
1547,2101514,126,40060177734721,False
1547,2101514,126,40057975164769,False
1547,2101514,126,40041090806809,False
1547,2101514,126,40053570206521,False
1547,2101514,126,40042482935569,False
1547,2101514,126,40059165051361,False
1547,2101514,126,40037142355081,False
1547,2101514,126,40040812383961,False
1547,2101514,126,40042027327129,False
1547,2101514,126,40051570334161,False
1547,2101514,126,40059646074361,False
1547,2101514,126,40044963515881,False
1547,2101514,126,40039901188681,False
